"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"chrb:4130",12,13,1,4,21,24
"chrb:4341",45,12,11,18,17,28
"chrb:4369",26,32,12,25,20,33
"chrb:4433",28,41,34,23,29,25
"chrb:4455",28,12,23,29,7,2
"chrb:4984",25,27,33,1,11,13
"chrb:5211",25,8,18,9,17,13
"chrb:5357",14,31,26,37,5,31
"chrb:5364",32,2,3,27,22,12
"chrb:5424",17,22,21,21,14,13
"chrb:5744",11,7,14,2,32,7
"chrb:6017",29,23,8,15,17,13
"chrb:6045",23,27,7,5,21,18
"chrb:6079",24,38,20,21,15,16
"chrb:6096",18,14,23,38,23,21
"chrb:6252",32,18,13,21,16,21
"chrb:6272",25,28,29,43,14,10
"chrb:6403",36,6,16,36,14,1
"chrb:6433",33,19,21,22,5,15
"chrb:6489",21,20,28,9,44,20
"chrb:6497",9,36,18,3,31,32
"chrb:6523",22,18,16,16,31,10
"chrb:6568",23,24,17,28,25,14
"chrb:7137",11,25,18,13,30,22
"chrb:7195",15,26,13,22,30,10
"chrb:7285",13,39,11,11,24,20
"chrb:7293",19,5,29,32,25,11
"chrb:7376",23,20,28,15,1,15
"chrb:7436",24,1,29,23,25,17
"chrb:7448",28,20,31,7,12,21
"chrb:7459",12,4,21,8,18,16
"chrb:7480",16,26,16,32,4,7
"chrb:7545",30,28,38,10,18,12
"chrb:7620",21,18,22,24,22,41
"chrb:7623",28,32,24,34,1,14
"chrb:7747",31,23,7,20,18,21
"chrb:7773",29,7,9,22,29,24
"chrb:7825",25,1,24,28,17,9
"chrb:7851",1,17,30,12,14,16
"chrb:7882",25,16,19,31,41,12
"chrb:7975",26,19,9,24,39,12
"chrb:8041",18,23,28,29,20,6
"chrb:8070",27,6,22,30,14,29
"chrb:8100",9,15,29,1,23,10
"chrb:8530",24,21,28,11,13,7
"chrb:8741",1,20,29,20,18,17
"chrb:8820",32,15,20,13,24,42
"chrb:8903",15,40,14,28,19,23
"chrb:9142",14,35,32,11,11,24
"chrb:9216",15,4,16,18,29,17
"chrb:9258",22,3,7,12,21,18
"chrb:9554",22,23,38,6,21,30
"chrb:9572",40,33,23,19,24,12
"chrb:9584",23,11,32,4,25,39
"chrb:9671",24,19,20,19,26,15
"chrb:9685",30,20,11,22,16,24
"chrb:9702",20,15,20,10,23,19
"chrb:9740",19,12,14,25,8,26
"chrb:9804",27,32,29,34,3,1
"chrb:9845",13,34,27,16,30,35
"chrb:9882",6,13,20,12,26,22
"chrb:9910",10,12,12,30,24,24
"chrc:42",28,26,12,1,1,3
"chrc:61",12,1,29,19,16,20
"chrc:176",27,20,32,31,18,12
"chrc:285",38,12,27,1,17,15
"chrc:309",23,28,1,42,26,5
"chrc:478",18,14,13,36,29,34
"chrc:544",3,19,13,7,13,17
"chrc:663",11,18,18,25,13,26
"chrc:728",23,4,18,27,31,19
"chrc:741",27,33,25,16,22,19
"chrc:857",1,38,15,15,16,1
"chrc:921",21,17,9,28,18,1
"chrc:1014",4,22,25,11,37,24
"chrc:1029",13,35,23,26,30,32
"chrc:1077",38,25,23,18,8,19
"chrc:1121",29,13,1,10,17,18
"chrc:1434",21,1,19,43,15,23
"chrc:1477",34,23,13,9,12,19
"chrc:1819",21,20,15,24,21,18
"chrc:1836",32,22,15,1,17,31
"chrc:1869",24,14,24,18,37,23
"chrc:2253",22,20,23,24,26,41
"chrc:2270",25,24,23,20,25,24
"chrc:2274",20,5,7,17,24,13
"chrc:2499",22,21,11,27,9,8
"chrc:2546",24,1,16,17,23,23
"chrc:2645",27,14,16,21,38,7
"chrc:2769",10,34,42,21,21,40
"chrc:2824",1,29,15,11,21,9
"chrc:2984",17,26,19,24,7,17
"chrc:2997",18,22,13,6,9,19
"chrc:3036",15,6,28,9,23,18
"chrc:3354",15,12,32,28,22,25
"chrc:3448",21,24,13,1,28,21
"chrc:3580",6,27,18,25,20,18
"chrc:3646",30,15,25,26,35,31
"chrc:3698",35,1,19,11,26,11
"chrc:3736",34,29,5,19,29,10
"chrc:3862",13,9,13,17,13,32
"chrc:4182",6,14,6,13,22,20
"chrc:4457",8,8,13,13,15,26
"chrc:4567",24,11,13,1,16,22
"chrc:4719",14,12,26,5,9,32
"chrc:4786",17,12,25,18,23,16
"chrc:4822",11,11,15,15,9,21
"chrc:4823",33,17,12,14,1,14
"chrc:4834",27,16,36,14,30,12
"chrc:5210",14,29,38,28,17,21
"chrc:5281",1,17,11,21,1,24
"chrc:5380",15,24,20,9,29,28
"chrc:5647",7,19,11,13,1,24
"chrc:5683",5,6,12,18,19,11
"chrc:5717",19,28,34,16,1,32
"chrc:5741",10,20,19,10,12,1
"chrc:5811",23,14,37,12,4,21
"chrc:5836",21,21,25,20,24,1
"chrc:5853",15,13,31,30,19,30
"chrc:5988",29,22,1,34,30,14
"chrc:6036",11,17,1,35,15,34
"chrc:6120",22,16,29,36,5,14
"chrc:6136",22,8,15,19,36,9
"chrc:6210",6,31,1,19,1,14
"chrc:6381",13,27,32,10,22,15
"chrc:6466",17,32,19,9,21,19
"chrc:6538",6,19,10,31,24,10
"chrc:6718",13,11,25,23,9,4
"chrc:6763",22,2,28,17,29,20
"chrc:7019",44,24,35,25,25,14
"chrc:7024",18,19,9,17,21,5
"chrc:7143",30,13,3,22,21,19
"chrc:7203",23,7,13,31,17,1
"chrc:7205",10,29,28,20,10,31
"chrc:7249",28,31,29,22,30,24
"chrc:7260",20,32,10,23,25,19
"chrc:7362",7,18,16,4,27,16
"chrc:7438",11,13,11,19,12,14
"chrc:7499",11,32,24,5,22,26
"chrc:7638",30,29,20,19,33,20
"chrc:7685",13,10,31,6,24,16
"chrc:7768",12,37,10,28,21,23
"chrc:7821",12,4,28,14,14,17
"chrc:7854",40,15,18,29,22,18
"chrc:7876",14,21,32,20,21,8
"chrc:7880",25,42,18,18,25,8
"chrc:7907",13,1,27,15,5,25
"chrc:7909",22,31,6,12,14,17
"chrc:8015",27,25,20,25,20,9
"chrc:8249",27,30,16,18,1,6
"chrc:8369",23,8,23,26,19,18
"chrc:8401",21,18,11,21,15,18
"chrc:8704",39,21,22,19,7,19
"chrc:8861",14,32,19,24,29,29
"chrc:8975",27,21,1,30,23,13
"chrc:9189",28,27,22,23,21,1
"chrc:9193",6,18,18,16,21,19
"chrc:9233",19,9,24,23,4,10
"chrc:9686",27,19,1,10,6,1
"chrc:9761",1,10,6,20,10,15
"chrc:9867",22,15,21,27,14,29
"chrc:9885",17,11,27,14,27,1
"chrd:77",19,23,23,13,6,8
"chrd:144",38,2,6,18,31,28
"chrd:159",17,13,12,27,28,20
"chrd:182",23,24,19,16,9,16
"chrd:236",21,15,11,9,13,17
"chrd:242",10,16,7,1,25,41
"chrd:292",19,17,20,34,43,21
"chrd:473",29,22,23,21,11,6
"chrd:690",38,9,15,25,30,33
"chrd:709",9,25,14,14,29,5
"chrd:711",42,34,27,28,17,21
"chrd:965",19,30,11,19,36,17
"chrd:1062",17,10,21,21,1,14
"chrd:1078",26,18,2,27,19,21
"chrd:1117",24,16,1,1,13,26
"chrd:1144",16,24,19,18,8,2
"chrd:1149",17,5,27,35,16,12
"chrd:1362",19,27,29,41,37,13
"chrd:1393",10,1,19,28,26,8
"chrd:1427",14,7,20,20,26,21
"chrd:1511",9,6,37,17,20,1
"chrd:1521",10,17,28,15,39,3
"chrd:1594",11,26,23,26,24,25
"chrd:1644",20,23,33,20,26,32
"chrd:1658",41,17,35,24,12,27
"chrd:1693",9,25,4,38,3,18
"chrd:1694",19,28,31,20,23,26
"chrd:1748",14,15,1,20,27,30
"chrd:1801",5,12,21,1,30,23
"chrd:1803",30,32,18,23,10,20
"chrd:1855",13,8,25,14,34,35
"chrd:2072",26,10,26,20,29,20
"chrd:2266",28,30,13,19,25,18
"chrd:2321",28,12,26,16,20,23
"chrd:2414",8,30,27,2,13,22
"chrd:2454",13,21,14,1,28,20
"chrd:2470",21,9,27,1,23,16
"chrd:2475",32,21,10,20,7,9
"chrd:2501",2,29,5,42,27,11
"chrd:2582",19,14,28,28,15,29
"chrd:2669",9,25,2,26,29,4
"chrd:2812",13,1,28,29,16,27
"chrd:2909",13,35,17,15,18,27
"chrd:2994",11,16,8,12,27,33
"chrd:3073",38,43,18,11,19,25
"chrd:3075",1,28,13,32,5,18
"chrd:3213",8,13,27,37,11,20
"chrd:3260",25,19,26,15,31,37
"chrd:3329",13,32,6,8,12,11
"chrd:3366",14,28,13,25,31,12
"chrd:3395",10,13,28,29,17,16
"chrd:3420",12,11,21,8,15,18
"chrd:3696",40,3,14,6,35,34
"chrd:3749",1,19,24,41,9,34
"chrd:3777",24,12,20,11,21,23
"chrd:3778",25,31,12,19,43,15
"chrd:3913",26,5,1,24,13,6
"chrd:3922",13,27,21,24,10,13
"chrd:3943",25,11,7,1,16,24
"chrd:4036",32,10,25,16,25,13
"chrd:4160",10,21,5,26,37,23
"chrd:4328",12,29,45,25,32,13
"chrd:5029",15,32,15,21,24,13
"chrd:5063",21,27,31,17,20,15
"chrd:5070",28,5,37,19,20,27
"chrd:5079",16,20,1,38,13,43
"chrd:5123",16,1,26,23,5,7
"chrd:5153",36,19,36,21,11,28
"chrd:5450",18,5,39,45,25,10
"chrd:5539",28,34,19,35,27,43
"chrd:5557",19,22,35,8,26,31
"chrd:5934",24,3,26,29,26,25
"chrd:5981",12,29,18,18,20,20
"chrd:6295",21,22,1,23,6,18
"chrd:6616",20,19,19,12,18,26
"chrd:7237",8,20,30,8,24,29
"chrd:7272",24,6,2,27,19,23
"chrd:7356",23,33,23,15,1,14
"chrd:7514",19,12,10,19,15,52
"chrd:7581",9,21,20,28,4,49
"chrd:7705",28,38,27,7,33,11
"chrd:7832",2,22,5,29,21,6
"chrd:7929",22,7,4,22,23,37
"chrd:8030",29,24,13,27,34,29
"chrd:8450",15,26,9,14,10,2
"chrd:8486",20,2,18,24,17,37
"chrd:8526",25,22,16,7,25,11
"chrd:8529",29,23,4,16,20,6
"chrd:8551",13,31,23,22,18,9
"chrd:8558",22,10,11,29,7,14
"chrd:8592",6,23,12,21,10,25
"chrd:8618",23,16,25,17,3,4
"chrd:8922",26,12,16,14,4,23
"chrd:8962",16,28,10,1,31,28
"chrd:9190",26,29,22,25,8,28
"chrd:9253",29,20,34,32,29,20
"chrd:9331",30,20,14,21,8,18
"chrd:9447",13,9,14,26,11,17
"chrd:9717",21,16,21,33,34,9
"chrd:9954",30,36,26,3,23,3
"chre:298",17,16,31,23,19,21
"chre:316",4,18,16,26,33,16
"chre:330",27,35,17,16,4,23
"chre:470",16,12,26,5,11,21
"chre:508",18,12,4,18,8,27
"chre:573",8,7,15,32,14,32
"chre:592",31,8,12,15,23,13
"chre:751",21,32,31,19,37,7
"chre:771",18,30,20,16,47,1
"chre:840",8,25,27,35,38,20
"chre:901",24,9,23,18,15,29
"chre:944",11,36,10,8,25,16
"chre:959",11,5,24,25,25,25
"chre:969",21,10,10,32,9,31
"chre:994",19,23,30,27,29,13
"chre:1104",32,17,28,33,10,17
"chre:1132",24,22,8,28,26,27
"chre:1253",6,5,14,14,14,29
"chre:1256",31,1,24,22,34,16
"chre:1281",8,13,10,17,13,21
"chre:1340",12,24,50,15,30,21
"chre:1543",28,9,32,16,27,28
"chre:1560",7,11,17,8,23,6
"chre:1576",27,25,32,37,11,19
"chre:1640",24,27,15,17,25,19
"chre:1888",30,31,14,24,23,22
"chre:1954",36,25,27,23,19,16
"chre:1964",6,15,22,22,17,24
"chre:1969",4,9,1,18,10,21
"chre:2000",1,13,22,5,37,25
"chre:2064",7,6,15,16,9,1
"chre:2131",11,19,32,31,1,10
"chre:2264",14,30,8,27,27,18
"chre:2273",21,5,5,3,22,6
"chre:2362",42,15,8,37,17,27
"chre:2717",15,35,13,22,21,22
"chre:2864",22,24,24,34,28,34
"chre:2959",28,18,20,12,13,1
"chre:3480",23,36,24,13,34,20
"chre:3499",20,8,25,30,36,21
"chre:3625",17,23,11,10,7,1
"chre:3628",33,19,21,32,11,19
"chre:3847",33,1,1,17,21,34
"chre:4069",26,26,25,21,34,1
"chre:4120",7,17,34,24,19,15
"chre:4135",30,28,19,16,28,28
"chre:4223",28,25,29,25,13,24
"chre:4234",41,43,30,8,17,26
"chre:4457",3,7,8,2,30,28
"chre:4461",1,20,23,5,24,3
"chre:4489",30,18,37,8,1,14
"chre:4565",15,16,28,32,31,38
"chre:4777",16,16,23,46,24,31
"chre:4812",27,15,22,11,27,16
"chre:4903",24,14,30,5,21,19
"chre:5079",25,18,32,30,9,27
"chre:5170",23,9,26,20,11,1
"chre:5768",28,23,17,18,16,12
"chre:5784",21,22,20,33,24,14
"chre:5888",25,23,21,1,18,9
"chre:5984",26,20,25,8,13,18
"chre:6055",10,18,22,15,15,17
"chre:6076",35,18,30,1,16,1
"chre:6277",13,23,19,2,7,21
"chre:6337",32,14,18,21,4,25
"chre:6378",23,39,12,9,3,7
"chre:6450",17,14,28,19,38,1
"chre:6481",25,22,33,30,23,34
"chre:6663",17,23,26,33,27,12
"chre:6755",38,31,20,1,1,14
"chre:6899",27,21,22,18,23,27
"chre:6917",1,17,29,17,19,23
"chre:7014",16,8,29,19,19,20
"chre:7050",27,45,2,22,17,12
"chre:7097",24,7,16,14,24,54
"chre:7102",23,22,14,18,11,20
"chre:7411",29,20,13,24,25,10
"chre:7552",18,29,16,31,13,46
"chre:7886",23,6,21,6,22,28
"chre:7915",31,20,33,31,7,13
"chre:8037",31,19,9,9,22,24
"chre:8105",12,3,2,10,28,5
"chre:8109",25,20,28,13,24,9
"chre:8265",8,19,19,4,11,11
"chre:8365",15,20,28,16,17,32
"chre:8367",21,21,21,30,18,24
"chre:8383",35,17,24,16,27,14
"chre:8465",19,19,17,11,11,18
"chre:8477",11,19,12,28,38,10
"chre:8512",18,37,21,13,25,18
"chre:8611",16,23,10,7,25,29
"chre:8701",21,14,17,31,20,24
"chre:8718",15,9,8,16,17,10
"chre:8851",3,25,17,22,40,3
"chre:9125",20,22,12,22,29,10
"chre:9468",5,34,24,14,37,10
"chre:9494",25,5,10,27,21,35
"chre:9660",8,41,21,34,17,29
"chre:9694",27,21,13,10,1,17
"chre:9991",31,16,17,28,12,41
"chrf:254",25,28,32,1,4,1
"chrf:290",1,22,18,34,24,12
"chrf:579",15,22,24,13,19,39
"chrf:601",7,12,17,23,18,31
"chrf:823",9,21,32,24,17,40
"chrf:921",4,15,32,13,10,32
"chrf:952",19,7,12,14,8,40
"chrf:1046",26,13,8,15,29,23
"chrf:1194",5,47,18,18,18,28
"chrf:1225",34,16,17,40,21,5
"chrf:1240",26,29,23,27,13,15
"chrf:1479",13,1,39,20,1,25
"chrf:1729",24,17,18,28,22,10
"chrf:1827",21,22,1,25,32,9
"chrf:1968",24,12,23,24,25,20
"chrf:1973",20,4,29,11,1,21
"chrf:1984",23,26,25,11,29,22
"chrf:2083",35,14,43,36,7,27
"chrf:2185",32,18,19,19,13,35
"chrf:2262",14,22,17,12,4,19
"chrf:2481",36,33,17,33,17,3
"chrf:2507",19,19,8,28,21,3
"chrf:2657",13,28,25,9,12,8
"chrf:2672",37,11,13,18,33,6
"chrf:2792",31,18,27,1,13,1
"chrf:2927",20,27,16,10,19,29
"chrf:3054",18,1,29,27,20,23
"chrf:3127",19,28,7,27,18,23
"chrf:3169",28,31,11,31,28,1
"chrf:3198",22,29,27,20,37,24
"chrf:3232",9,38,29,4,6,17
"chrf:3268",20,13,34,25,13,12
"chrf:3412",27,12,17,27,22,15
"chrf:3597",18,8,13,4,26,20
"chrf:3726",11,3,4,23,2,25
"chrf:3729",33,15,12,34,25,26
"chrf:3733",16,18,31,5,20,26
"chrf:3843",13,17,5,11,32,29
"chrf:3861",15,22,22,12,21,9
"chrf:4142",25,23,12,13,15,31
"chrf:4261",7,15,31,25,20,16
"chrf:4765",19,19,12,27,26,13
"chrf:4876",21,17,20,38,30,29
"chrf:4898",1,20,19,27,24,14
"chrf:4925",15,25,17,18,37,4
"chrf:4971",28,28,26,12,30,19
"chrf:5066",38,10,1,22,30,9
"chrf:5115",26,1,16,33,29,26
"chrf:5255",33,8,22,5,25,14
"chrf:5629",25,6,12,24,5,17
"chrf:5631",25,21,17,21,13,28
"chrf:5643",24,20,30,20,21,22
"chrf:5651",20,11,8,18,17,12
"chrf:5660",50,16,29,9,9,26
"chrf:5835",16,1,35,11,17,17
"chrf:5846",27,22,27,12,3,1
"chrf:5893",18,16,20,12,21,12
"chrf:6056",4,11,16,10,20,19
"chrf:6116",36,24,14,24,24,11
"chrf:6142",26,17,37,10,16,15
"chrf:6363",31,21,16,19,9,15
"chrf:6523",23,28,5,19,24,17
"chrf:6585",17,9,16,21,36,3
"chrf:6652",3,26,19,13,38,16
"chrf:6839",13,33,22,32,1,26
"chrf:6849",28,16,28,1,8,25
"chrf:6870",11,19,22,20,21,20
"chrf:6883",8,6,16,37,22,32
"chrf:6954",3,19,22,27,30,13
"chrf:7095",17,18,18,23,9,29
"chrf:7127",11,22,26,1,35,29
"chrf:7148",21,15,17,22,29,19
"chrf:7357",19,31,22,19,1,15
"chrf:7441",22,28,35,27,14,11
"chrf:7854",10,28,31,20,12,11
"chrf:8083",32,11,7,16,13,20
"chrf:8091",18,17,15,19,21,15
"chrf:8131",37,16,29,12,16,27
"chrf:8152",32,28,19,40,24,20
"chrf:8264",21,18,28,27,38,14
"chrf:8302",1,35,10,19,32,21
"chrf:8662",13,12,31,17,1,6
"chrf:8671",33,20,31,20,17,19
"chrf:8771",21,25,31,11,22,19
"chrf:8904",8,36,26,3,39,10
"chrf:8932",3,31,19,29,16,14
"chrf:8994",24,31,28,22,25,10
"chrf:9240",21,44,21,36,22,22
"chrf:9264",12,23,21,30,30,20
"chrf:9333",19,29,28,15,4,7
"chrf:9362",10,32,28,15,10,18
"chrf:9400",23,10,35,3,28,26
"chrf:9533",6,14,11,30,27,22
"chrf:9545",26,33,17,34,3,16
"chrf:9558",6,16,38,7,24,27
"chrf:9645",18,26,23,11,19,16
"chrf:9662",16,21,21,21,35,12
"chrf:9675",25,1,26,37,18,33
"chrf:9781",27,1,17,6,6,21
"chrf:9875",17,28,34,4,24,11
"chrg:238",17,20,17,9,21,11
"chrg:309",23,32,21,16,18,21
"chrg:349",26,11,21,37,11,13
"chrg:584",1,11,15,28,11,22
"chrg:601",4,11,42,15,30,33
"chrg:622",29,9,10,24,3,18
"chrg:813",21,13,19,25,21,14
"chrg:1233",3,20,22,14,10,15
"chrg:1373",32,13,18,22,13,35
"chrg:1444",28,32,1,32,6,27
"chrg:1524",24,11,22,27,29,6
"chrg:1581",28,11,39,14,18,26
"chrg:1611",39,9,14,29,14,16
"chrg:1722",29,17,15,2,29,23
"chrg:1823",23,19,19,2,1,16
"chrg:1926",19,15,25,17,24,28
"chrg:1957",28,16,19,10,25,21
"chrg:1996",11,16,14,15,32,33
"chrg:2078",29,27,15,16,25,5
"chrg:2122",24,39,17,36,8,14
"chrg:2184",40,26,16,10,35,18
"chrg:2270",15,27,23,17,32,13
"chrg:2399",17,13,16,32,11,35
"chrg:2419",27,35,13,12,18,34
"chrg:2478",8,15,22,5,36,24
"chrg:2665",10,20,28,16,17,4
"chrg:2721",18,12,17,27,13,36
"chrg:2938",35,16,9,17,23,1
"chrg:2993",24,18,23,11,25,16
"chrg:3226",17,5,30,6,40,22
"chrg:3441",21,30,25,26,34,22
"chrg:3516",19,26,14,12,20,1
"chrg:3584",24,28,25,25,11,8
"chrg:3595",15,13,22,6,15,12
"chrg:3625",31,27,21,9,4,26
"chrg:3649",1,7,4,21,15,17
"chrg:3652",34,10,23,21,23,8
"chrg:3799",16,44,13,8,19,21
"chrg:4041",16,5,25,2,12,21
"chrg:4111",18,39,13,16,10,14
"chrg:4131",1,27,10,37,27,22
"chrg:4208",26,27,31,32,19,6
"chrg:4410",19,23,9,25,18,21
"chrg:4431",34,37,13,27,23,17
"chrg:4476",6,4,6,25,25,21
"chrg:4495",35,12,29,41,28,25
"chrg:4513",33,26,30,27,11,25
"chrg:4593",44,13,31,17,33,27
"chrg:4706",25,8,30,22,15,22
"chrg:4832",4,28,42,17,8,25
"chrg:4833",1,1,13,21,19,16
"chrg:4967",25,12,35,1,22,12
"chrg:5019",33,12,30,23,10,11
"chrg:5110",13,22,41,26,25,22
"chrg:5252",29,16,26,41,20,26
"chrg:5350",29,25,20,16,32,37
"chrg:5579",22,30,21,6,20,23
"chrg:5665",15,19,38,16,16,15
"chrg:5781",22,20,20,6,17,5
"chrg:5809",23,11,13,23,36,1
"chrg:5845",36,22,13,14,7,4
"chrg:5852",26,28,26,11,6,27
"chrg:5932",21,6,12,5,23,24
"chrg:6008",15,6,16,26,29,18
"chrg:6011",34,12,26,31,16,3
"chrg:6046",23,13,12,16,39,17
"chrg:6154",20,21,30,8,29,16
"chrg:6285",11,9,22,15,39,15
"chrg:6359",4,29,2,24,14,17
"chrg:6433",25,32,21,16,34,20
"chrg:6617",12,19,29,26,46,27
"chrg:6732",21,23,26,39,30,15
"chrg:6989",28,17,15,22,8,23
"chrg:7003",5,45,29,5,8,9
"chrg:7176",15,4,20,8,10,14
"chrg:7196",20,1,14,14,10,38
"chrg:7250",3,24,19,1,17,19
"chrg:7391",23,30,9,14,14,1
"chrg:7728",7,12,11,26,20,18
"chrg:7874",21,14,28,18,6,18
"chrg:7888",18,16,25,21,16,32
"chrg:8355",15,5,40,29,31,34
"chrg:8373",20,17,20,41,10,28
"chrg:8383",6,13,17,46,11,31
"chrg:8400",13,26,7,15,1,29
"chrg:8524",39,23,26,23,12,19
"chrg:8575",26,10,39,9,18,21
"chrg:8598",17,17,8,37,20,14
"chrg:9066",4,15,19,34,7,27
"chrg:9181",40,35,16,26,31,12
"chrg:9202",9,20,28,15,32,13
"chrg:9281",24,28,15,18,28,38
"chrg:9317",28,28,30,20,14,35
"chrg:9406",4,32,11,25,18,16
"chrg:9570",34,21,23,23,23,13
"chrg:9707",18,6,40,18,5,32
"chrg:9721",29,26,19,27,32,4
"chrg:9771",16,9,26,13,21,21
"chrg:9841",31,13,22,17,10,14
"chrg:9959",27,15,21,5,24,19
"chrh:211",5,27,23,19,5,15
"chrh:241",6,18,20,18,25,16
"chrh:500",27,11,18,13,21,3
"chrh:595",23,20,34,14,30,32
"chrh:680",28,17,23,20,19,18
"chrh:727",22,16,24,25,33,24
"chrh:736",19,12,17,34,16,26
"chrh:1095",24,10,6,28,6,10
"chrh:1160",17,26,15,5,9,32
"chrh:1207",24,34,10,17,9,21
